total_bill,tip,sex,smoker,day,time,size,customer_age
$18.35,$2.5,Male,No,Sat,Dinner,4,63
$16.82,$4.0,Male,Yes,Sun,Dinner,2,52
$34.83,$5.17,Female,No,Thur,Lunch,4,54
$14.07,$2.5,Male,No,Sun,Dinner,2,19
$15.48,$2.02,Male,Yes,Thur,Lunch,2,43
$8.52,$1.48,Male,No,Thur,Lunch,2,20
$19.77,$2.0,Male,No,Sun,Dinner,4,21
$10.77,$1.47,Male,No,Sat,Dinner,2,31
$22.82,$2.18,Male,No,Thur,Lunch,3,150
$11.59,$1.5,Male,Yes,Sat,Dinner,2,68
$10.33,$1.67,Female,No,Sun,Dinner,3,52
$22.42,$3.48,Female,Yes,Sat,Dinner,2,26
$21.5,$3.5,Male,No,Sun,Dinner,4,46
$10.33,$2.0,Female,No,Thur,Lunch,2,57
$13.94,$3.06,Male,No,Sun,Dinner,2,33
$32.9,$3.11,Male,Yes,Sun,Dinner,2,39
